Semua Laporan Iklan CPC - Shopee Indonesia
Username,cleorabeauty
Nama Toko,Cleora Beauty Official Shop
ID Toko,215119251
Waktu Laporan Dibuat,22/02/2026 22:35
Periode,21/02/2026 - 21/02/2026

Urutan,Nama Iklan,Status,Jenis Iklan,Kode Produk,Tampilan Iklan,Mode Bidding,Penempatan Iklan,Tanggal Mulai,Tanggal Selesai,Dilihat,Jumlah Klik,Persentase Klik,Konversi,Konversi Langsung,Tingkat konversi,Tingkat Konversi Langsung,Biaya per Konversi,Biaya per Konversi Langsung,Produk Terjual,Terjual Langsung,Omzet Penjualan,Penjualan Langsung (GMV Langsung),Biaya,Efektifitas Iklan,Efektivitas Langsung,Persentase Biaya Iklan terhadap Penjualan dari Iklan (ACOS),Persentase Biaya Iklan terhadap Penjualan dari Iklan Langsung (ACOS Langsung),Jumlah Produk Dilihat,Jumlah Klik Produk,Persentase Klik Produk
43,"[SPECIAL OFFER] Cleora Beauty Glow Maximum Package | 3 Minutes Exfoliating Gel + Glow Jelly Booster Vitamin C | Mencerahkan, Mengangkat Sel Kulit Mati, Melembapkan",Berjalan,Iklan Produk,43800117009,-,GMV Max ROAS,Semua Penempatan,14/05/2025 00:00:00,Tidak Terbatas,1312,36,2.74%,3,3,8.33%,8.33%,9136.44,9136.44,3,3,389951,389951,27409,14.23,14.23,7.03%,7.03%,-,-,-
44,[COMBO HEMAT] Cleora Beauty Special Bundle Pore Glow Exfoliating Toner + Cleora 8x Hyalu Hydrating Moisturizer Gel - 4X Power Exsfoliasi Wajah Mencerahkan & Meratakan Warna Kulit  Skincare Pemutih Wajah Mengurangi Komedo Paket Scincare Acne Wanita Pria [7],Berjalan,Iklan Produk,24342221264,-,GMV Max ROAS,Semua Penempatan,22/08/2025 00:00:00,Tidak Terbatas,1188,6,0.51%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,4655,0.00,0.00,0.00%,0.00%,-,-,-
45,[2IN1 SUPER HEMAT] Cleora Glow & Repair - Skincare 8X Hyalu Moisturizer & 3 Minutes Exfoliating Gel With AHA BHA PHA Brightening Whitening Mencerahkan Mengangkat Sel Kulit Mati SkinBarrier Melembabkan Eksfoliasi Exfoliasi Scrub Wajah Wanita Acne Day Cream [8],Berjalan,Iklan Produk,19664404348,-,GMV Max ROAS,Semua Penempatan,01/06/2025 00:00:00,Tidak Terbatas,1071,7,0.65%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,12157,0.00,0.00,0.00%,0.00%,-,-,-
46,[2in1 Hemat] Cleora Brightening Set - Moisturizer Jelly Booster & Calendula Body Lotion Wanita Pria Skincare Whitening Mencerahkan Melembabkan Mengatasi Muka Kusam Memperbaiki Skin Barrier Anti Aging Handbody Niacinamide Bodybutter Day Cream Pemutih Wajah [8],Berjalan,Iklan Produk,25894812728,-,GMV Max ROAS,Semua Penempatan,22/08/2025 00:00:00,Tidak Terbatas,1061,23,2.17%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,16211,0.00,0.00,0.00%,0.00%,-,-,-
47,[SPECIAL TRIPLE COMBO] Cleora Skincare 3IN1 - Day Cream With Niacinamide Pembersih Wajah Membantu Mencerahkan & Melembabkan Kulit Sunscreen Moisturizer Melindungi Dari Sinar Matahari UVA UVB Facial Wash Sabun Pencuci Muka Whitening Mosturizer Pria Wanita,Berjalan,Iklan Produk,53150232084,-,"Tahap 1: GMV Max Auto, Tahap 2: GMV Max ROAS",Semua Penempatan,08/11/2025 00:00:00,Tidak Terbatas,1016,9,0.89%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,6387,0.00,0.00,0.00%,0.00%,-,-,-
48,[HOT SALE] Cleora Acne Soothe Spot Gel | Obat Totol Jerawat Membantu Menyembuhkan Mengempeskan Jerawat Menyamarkan & Mencerahkan Noda Hitam Cream Salep Perawatan Menenangkan Kemerahan Acne Toto Wanita Pria [6],Berjalan,Iklan Produk,23468803264,-,GMV Max ROAS,Semua Penempatan,25/05/2025 00:00:00,Tidak Terbatas,971,15,1.54%,1,1,6.67%,6.67%,18039.47,18039.47,1,1,59149,59149,18039,3.28,3.28,30.50%,30.50%,-,-,-
49,"Cleora Special Skincare Set - Paket Lengkap Exfoliasi, Brightening & Acne Care untuk Wanita & Pria | Face Wash, Peeling Gel, Serum, Moisturizer, Penghilang Jerawat & Dark Spot",Berjalan,Iklan Produk,41101932163,-,GMV Max ROAS,Semua Penempatan,26/05/2025 00:00:00,Tidak Terbatas,936,20,2.14%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,14481,0.00,0.00,0.00%,0.00%,-,-,-
50,[ORDER NOW!HEMAT 45RB] Cleora Hydra Shield Glow - Skincare 8X Hyalu Moisturizer & UV Glow Protect Shield Sunscreen Wajah Wanita Pria With Niacinamide Brightening Whitening Mencerahkan Melembabkan Day Cream Membantu Melindungi Kulit Dari Sinar UVA & UVB [2],Berjalan,Iklan Produk,29043350012,-,GMV Max ROAS,Semua Penempatan,27/12/2025 00:00:00,Tidak Terbatas,926,7,0.76%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,13926,0.00,0.00,0.00%,0.00%,-,-,-
51,Cleora Special Bundling - Moisturizer Brightening & Acne Spot Gel Pelembab Mencerahkan Obat Totol Jerawat Niacinamide Skin Barrier Untuk Wanita Pria Cream Salep Perawatan Wajah,Berjalan,Iklan Produk,40751911363,-,GMV Max ROAS,Semua Penempatan,25/05/2025 00:00:00,Tidak Terbatas,911,5,0.55%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,3347,0.00,0.00,0.00%,0.00%,-,-,-
52,[HOT SALE] Cleora Beauty 8x Hyalu Hydrating Moisturizer - Gel Pelembab Muka Kering & Mengatasi Kusam Skincare untuk Mencerahkan Menenangkan Dark Spot Whitening Mosturizer Skin Barrier Calming Brightening Scincare Wajah Acne Day Cream and Night Pria Wanita [8],Berjalan,Iklan Produk,20863442898,-,GMV Max ROAS,Semua Penempatan,27/12/2025 00:00:00,Tidak Terbatas,813,16,1.97%,1,1,6.25%,6.25%,16245.08,16245.08,1,1,76000,76000,16245,4.68,4.68,21.38%,21.38%,-,-,-
53,[2IN1 HEMAT] Cleora Bright & Protect - Glow Smooth Moisturizer Dan UV Glow Protect Sunscreen Skincare Pelembab Muka Kering Kusam Mencerahkan Dark Spot Whitening Sunblock Sun Screen Melindungi Dari Sinar Matahari UVA UVB Brightening Day Cream Wanita Pria,Berjalan,Iklan Produk,57600231822,-,"Tahap 1: GMV Max Auto, Tahap 2: GMV Max ROAS",Semua Penempatan,08/11/2025 00:00:00,Tidak Terbatas,792,15,1.89%,1,1,6.67%,6.67%,25120.51,25120.51,1,1,143500,143500,25121,5.71,5.71,17.51%,17.51%,-,-,-
54,[𝐁𝐞𝐥𝐢 𝟐 𝐋𝐞𝐛𝐢𝐡 𝐇𝐄𝐌𝐀𝐓] Cleora Beauty Pore Glow Exfoliating Toner 120ML - Toner Exfoliasi Wajah Dengan 4X Power Eksfoliasi Membantu Menyamarkan Pori Pori Kulit Mencerahkan Menghaluskan Kulit Mengurangi Komedo Skincare Jerawat Acne Paket Scincare Wanita Pria [4],Berjalan,Iklan Produk,26027584176,-,GMV Max ROAS,Semua Penempatan,27/12/2025 00:00:00,Tidak Terbatas,789,10,1.27%,1,1,10.00%,10.00%,22246.31,22246.31,1,1,161000,161000,22246,7.24,7.24,13.82%,13.82%,-,-,-
55,[PAKET HEMAT 2PCS] Cleora Beauty UV Glow Protect Shield | Sunscreen With Niacinamide Brightening Whitening Skincare Wajah Membantu Mencerahkan & Melembabkan Mudah Meresap Calming Lightening Suncreen Scincare Acne Melindungi Kulit Dari Sinar UVA UVB,Berjalan,Iklan Produk,29941004141,-,GMV Max ROAS,Semua Penempatan,15/09/2025 00:00:00,Tidak Terbatas,759,12,1.58%,1,1,8.33%,8.33%,10278.77,10278.77,1,1,161500,161500,10279,15.71,15.71,6.36%,6.36%,-,-,-
56,[2IN1 HEMAT] Cleora Brightening Set - Skincare Red Saviour + 8x Hyalu Moisturizer Paket Peeling Solution Eksfoliasi Wajah Pemutih Dark Spot Wanita Pria Serum Jerawat Scincare Exfoliasi Jerawat Acne Mosturizer Mencerahkan Pelembab Cream Muka Kering BPOM [8],Berjalan,Iklan Produk,22733547488,-,GMV Max ROAS,Semua Penempatan,09/02/2025 00:00:00,Tidak Terbatas,512,4,0.78%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,4457,0.00,0.00,0.00%,0.00%,-,-,-
57,[SPECIAL OFFER] Cleora UV Glow Protect Shield - Sunscreen With Niacinamide Brightening Whitening Skincare Wajah Membantu Mencerahkan & Melembabkan Mudah Meresap Calming Lightening Suncreen Scincare Acne Melindungi Kulit Dari Sinar UVA UVB Untuk All Skin,Berjalan,Iklan Produk,49601237229,-,GMV Max ROAS,Semua Penempatan,27/12/2025 00:00:00,Tidak Terbatas,470,9,1.91%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,3154,0.00,0.00,0.00%,0.00%,-,-,-
58,[ISI 2PCS] Cleora Acne Soothe Spot Gel Special Bundle 2pcs | Obat Totol Jerawat Acne Totol Jerawat Mengurangi Bekas Jerawat Kemerahan Kulit Sensitif Untuk Wanita Pria Cream Salep Perawatan Wajah [3],Berjalan,Iklan Produk,22168801079,-,GMV Max ROAS,Semua Penempatan,25/05/2025 00:00:00,Tidak Terbatas,342,1,0.29%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,7391,0.00,0.00,0.00%,0.00%,-,-,-
59,[HEMAT 2IN1] Cleora Exfoliasi & Bright Bodycare -  3 Minutes & Calendula Skincare Exfoliating Peeling Gel Body Lotion Handbody With Niacinamide Membantu Mengangkat Sel Kulit Mati Scrub Eksfoliasi Muka Brightening Mencerahkan Wajah Wanita Pria Jerawat Acne,Berjalan,Iklan Produk,27293319806,-,"Tahap 1: GMV Max Auto, Tahap 2: GMV Max ROAS",Semua Penempatan,08/11/2025 00:00:00,Tidak Terbatas,146,6,4.11%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,1364,0.00,0.00,0.00%,0.00%,-,-,-
60,Cleora 8X Hyalu Hydrating Moisturizer - Pelembab Cream Wajah Untuk Memperbaiki Skin Barier Menenangkan & Menghidrasi Kulit Kering Kusam Berminyak [7],Berjalan,Iklan Produk,23781112603,-,GMV Max ROAS,Semua Penempatan,01/06/2025 00:00:00,Tidak Terbatas,140,1,0.71%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,498,0.00,0.00,0.00%,0.00%,-,-,-
61,[ORDER NOW!HEMAT 47RB] Cleora Hydrating & Body care - Moisturizer 8x Hyalu & Calendula Pelembab Muka Kering Kusam Skincare Mencerahkan Kulit Dark Spot Whitening Gel Brightening Pemutih Wajah Cream Lotion Handbody Wanita Pria Niacinamide Body Butter BPOM,Berjalan,Iklan Produk,43375649445,-,"Tahap 1: GMV Max Auto, Tahap 2: GMV Max ROAS",Semua Penempatan,08/11/2025 00:00:00,Tidak Terbatas,97,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,634,0.00,0.00,0.00%,0.00%,-,-,-
62,[ORDER NOW!HEMAT 75RB] Cleora Whitening Set - Skincare Pore Glow Exfoliasi Toner & Calendula Body Lotion Wajah Wanita Pria Mengangkat Sel Kulit Mati Eksfoliasi Muka Brightening Mencerahkan Komedo Jerawat Acne Handbody Niacinamide Body Butter Cream Pemutih,Berjalan,Iklan Produk,40475469296,-,"Tahap 1: GMV Max Auto, Tahap 2: GMV Max ROAS",Semua Penempatan,08/11/2025 00:00:00,Tidak Terbatas,85,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,3,0.00,0.00,0.00%,0.00%,-,-,-
63,Red Savior X Skintific Peeling Solution,Berjalan,Iklan Toko,-,Tampilan Iklan Manual,Bidding Manual,-,19/07/2024 00:00:00,Tidak Terbatas,975,21,2.15%,1,0,4.76%,0.00%,20979.00,0.00,1,0,54437,0,20979,2.59,0.00,38.54%,0.00%,5567,6,0.11%
64,Kata Kunci 30 Second Natural Exfoliating Gel,Berjalan,Iklan Toko,-,Tampilan Iklan Manual,Bidding Manual,-,01/03/2024 00:00:00,Tidak Terbatas,805,21,2.61%,2,2,9.52%,9.52%,6960.00,6960.00,2,2,123711,123711,13920,8.89,8.89,11.25%,11.25%,6144,6,0.10%
65,Iklan Toko 08-05-2025,Berjalan,Iklan Toko,-,Tampilan Iklan Manual,Bidding Manual,-,08/05/2025 00:00:00,Tidak Terbatas,715,21,2.94%,1,1,4.76%,4.76%,15094.96,15094.96,1,1,54437,54437,15095,3.61,3.61,27.73%,27.73%,5270,4,0.08%
66,Iklan keyword Kompetitor,Berjalan,Iklan Toko,-,Tampilan Iklan Manual,Bidding Manual,-,01/02/2024 00:00:00,Tidak Terbatas,156,1,0.64%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,300,0.00,0.00,0.00%,0.00%,761,0,0.00%
67,Red Savior Kata kunci Gmeelan,Berjalan,Iklan Toko,-,Tampilan Iklan Manual,Bidding Manual,-,07/06/2024 00:00:00,Tidak Terbatas,95,1,1.05%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,800,0.00,0.00,0.00%,0.00%,619,0,0.00%
68,Iklan Toko 22-04-2025 - Cosmetics Keyword 3,Berjalan,Iklan Toko,-,Tampilan Iklan Manual,Bidding Manual,-,22/04/2025 00:00:00,Tidak Terbatas,63,2,3.17%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,1200,0.00,0.00,0.00%,0.00%,294,0,0.00%
69,Iklan Kompetitor Dorskin Moisturizer EJB,Berjalan,Iklan Toko,-,Tampilan Iklan Manual,Bidding Manual,-,15/02/2024 00:00:00,Tidak Terbatas,33,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,190,0,0.00%
70,Iklan Toko Typo,Berjalan,Iklan Toko,-,Tampilan Iklan Manual,Bidding Manual,-,01/02/2024 00:00:00,Tidak Terbatas,18,2,11.11%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,600,0.00,0.00,0.00%,0.00%,156,0,0.00%
71,Iklan Toko 22-04-2025 - Kategori 5,Berjalan,Iklan Toko,-,Tampilan Iklan Manual,Bidding Manual,-,22/04/2025 00:00:00,Tidak Terbatas,15,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,82,0,0.00%
72,Iklan Toko 22-04-2025 - kategori 8,Berjalan,Iklan Toko,-,Tampilan Iklan Manual,Bidding Manual,-,22/04/2025 00:00:00,Tidak Terbatas,4,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,17,0,0.00%
73,Kata Kunci The Originote EJB,Berjalan,Iklan Toko,-,Tampilan Iklan Manual,Bidding Manual,-,15/02/2024 00:00:00,Tidak Terbatas,2,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,15,0,0.00%
