Semua Laporan Iklan CPC - Shopee Indonesia
Username,cleorabeauty
Nama Toko,Cleora Beauty Official Shop
ID Toko,215119251
Waktu Laporan Dibuat,22/02/2026 22:35
Periode,21/02/2026 - 21/02/2026

Urutan,Nama Iklan,Status,Jenis Iklan,Kode Produk,Tampilan Iklan,Mode Bidding,Penempatan Iklan,Tanggal Mulai,Tanggal Selesai,Dilihat,Jumlah Klik,Persentase Klik,Konversi,Konversi Langsung,Tingkat konversi,Tingkat Konversi Langsung,Biaya per Konversi,Biaya per Konversi Langsung,Produk Terjual,Terjual Langsung,Omzet Penjualan,Penjualan Langsung (GMV Langsung),Biaya,Efektifitas Iklan,Efektivitas Langsung,Persentase Biaya Iklan terhadap Penjualan dari Iklan (ACOS),Persentase Biaya Iklan terhadap Penjualan dari Iklan Langsung (ACOS Langsung),Jumlah Produk Dilihat,Jumlah Klik Produk,Persentase Klik Produk
12,[COMBO 2in1] Cleora Glowing Special Set Bundle Hemat - Exclusive Glow Jelly Booster Vitamin C + Red Saviour Eksfoliasi Peeling Solution Serum Exfoliasi Wajah Moisturizer Paket Scincare Mencerahkan Acne Mosturizer Skincare 1 Set Lengkap Pria Dan Wanita [3],Berjalan,Iklan Produk,27325749692,-,GMV Max ROAS,Semua Penempatan,27/04/2025 00:00:00,Tidak Terbatas,10529,200,1.90%,17,14,8.50%,7.00%,19784.99,24024.64,17,14,1916789,1647840,336345,5.70,4.90,17.55%,20.41%,-,-,-
13,[HOT SALE] Cleora Exclusive Glow Jelly Booster Moisturizer | Skincare Wajah Wanita Pria Whitening Mencerahkan Melembabkan Mengatasi Muka Kusam Memperbaiki Skin Barrier Anti Aging Brightening Mosturizer Day Cream Scincare Dark Spot Facial Calming Day Night,Berjalan,Iklan Produk,40150040711,-,GMV Max ROAS,Semua Penempatan,14/05/2025 00:00:00,Tidak Terbatas,8034,165,2.05%,14,11,8.48%,6.67%,13642.76,17363.52,15,12,1173697,906927,190999,6.15,4.75,16.27%,21.06%,-,-,-
14,【BIG SIZE HEMAT 38K】Cleora Beauty 3 Minutes Exfoliating Gel 100ml - Skincare Exfoliasi Wajah Mengangkat Kotoran &  Sel Kulit Mati Scincare Face Scrub Niacinamide Eksfoliasi Muka Brightening Mencerahkan Penghilang Daki Bruntusan Flek Hitam Mencerahkan [10],Berjalan,Iklan Produk,23877954661,-,GMV Max ROAS,Semua Penempatan,27/11/2024 00:00:00,Tidak Terbatas,7545,118,1.56%,11,9,9.32%,7.63%,15023.14,18361.61,11,9,979681,817988,165254,5.93,4.95,16.87%,20.20%,-,-,-
15,[SPESIAL OFFER] Cleora Beauty 3 Minutes Exfoliating Gel | Peeling Gel Membantu Mengangkat Kotoran & Sel Kulit Mati Mencerahkan Muka Exfoliasi Wajah Penghilang Dark Spot Skincare Acne Pria Wanita Eksfoliasi Muka Komedo With AHA BHA PHA Niacinamide Night [16],Berjalan,Iklan Produk,23789923087,-,GMV Max ROAS,Semua Penempatan,22/08/2025 00:00:00,Tidak Terbatas,6410,182,2.84%,12,12,6.59%,6.59%,11269.43,11269.43,12,12,708150,708150,135233,5.24,5.24,19.10%,19.10%,-,-,-
16,[PAKET HEMAT 2PCS] CLEORA 8x Hyalu Hydrating Moisturizer - Pelembab Muka Kering Dan Mengatasi Kusam Skincare Gel Untuk Mencerahkan Menenangkan Dark Spot Whitening Mosturizer Skin Barrier Calming Brightening Wajah Jerawat Acne Day Cream Pria Wanita BPOM [3],Berjalan,Iklan Produk,26707198354,-,GMV Max ROAS,Semua Penempatan,04/11/2024 00:00:00,Tidak Terbatas,5309,93,1.75%,4,1,4.30%,1.08%,19276.84,77107.38,4,1,436099,143951,77107,5.66,1.87,17.68%,53.57%,-,-,-
17,[BUNDLE HEMAT] Cleora Exfoliasi Special Bundle Red Saviour Peeling Solution Serum + 3 Minutes Exfoliating Gel Pembersih Wajah Membantu Mengangkat Sel Kulit Mati Dan Kotoran Skincare Acne Niacinamide Brightening Scrub Pelembab Paket Skincare 1 Set Lengkap,Berjalan,Iklan Produk,27310239315,-,GMV Max ROAS,Semua Penempatan,22/01/2025 00:00:00,Tidak Terbatas,5157,71,1.38%,9,9,12.68%,12.68%,16300.82,16300.82,9,9,1066785,1066785,146707,7.27,7.27,13.75%,13.75%,-,-,-
18,[SPECIAL OFFER] Cleora Paket Hydro Boost 2 in1 - Facial Wash Brightening Moisturizer Perawatan Kulit Kering Skincare Wajah Mengangkat Sel Kulit Mati Peeling Scrub Jerawat Acne Gel Face Wash Sabun Pemutih Muka Pelambab Exfoliasi Eksfoliasi Acne Jerawat,Berjalan,Iklan Produk,27230267392,-,GMV Max ROAS,Semua Penempatan,19/04/2025 00:00:00,Tidak Terbatas,5002,112,2.24%,5,3,4.46%,2.68%,13988.81,23314.68,5,3,500120,384836,69944,7.15,5.50,13.99%,18.18%,-,-,-
19,[2IN1 HEMAT] Cleora Glow & Repair Set - Skincare 8X Hyalu Moisturizer & 3 Minutes Exfoliating Gel With AHA BHA PHA Brightening Whitening Mencerahkan Mengangkat Sel Kulit Mati Skin Barrier Melembabkan Eksfoliasi Exfoliasi Scrub Wajah Wanita Acne Day Cream [2],Berjalan,Iklan Produk,27713461327,-,GMV Max ROAS,Semua Penempatan,05/11/2024 00:00:00,Tidak Terbatas,4172,74,1.77%,6,6,8.11%,8.11%,14589.51,14589.51,6,6,621671,621671,87537,7.10,7.10,14.08%,14.08%,-,-,-
20,[HOT]Cleora Calendula Healthy Bright Body Lotion – Handbody Wanita Pria With Niacinamide Brightening Memudarkan Bekas Luka Pereda Eksim Body Butter Skin Care Whitening Lotion Pemutih Seluruh Tubuh BPOM Kosmetik Penghilang Koreng Gelap Tangan Kaki [17],Berjalan,Iklan Produk,20469430475,-,GMV Max ROAS,Semua Penempatan,22/08/2025 00:00:00,Tidak Terbatas,4067,139,3.42%,8,8,5.76%,5.76%,9002.88,9002.88,8,8,577129,577129,72023,8.01,8.01,12.48%,12.48%,-,-,-
21,[HOT SALE] CLEORA Glow Smooth Moisturizer | Pelembab Muka Kering Dan Kusam Cream Gel untuk Mencerahkan Dark Spot Whitening Mosturizer Skin Barrier Calming With Niacinamide Brightening Skincare Pemutih Wajah Facial Day Cream and Night Pria Dan Wanita,Berjalan,Iklan Produk,29370115270,-,GMV Max ROAS,Semua Penempatan,12/12/2024 00:00:00,Tidak Terbatas,3819,57,1.49%,4,3,7.02%,5.26%,15361.43,20481.90,4,3,274968,220531,61446,4.47,3.59,22.35%,27.86%,-,-,-
